passage,question,reference,answer,A,B,C
"This must be a simply enormous wardrobe!” thought Lucy, going still further in and pushing the soft folds of the coats aside to make room for her. Then she noticed that there was something crunching under her feet.\n“I wonder is that more moth-balls?” she thought, stooping down to feel it with her hand. But instead of feeling the hard. smooth wood of the floor of the wardrobe, she felt something soft and powdery and extremely cold. “This is very queer,” she said, and went on a step or two further.\n\nNext moment she found that what she was rubbing against her face and hands was no longer soft fur but something hard and rough and even prickly. “Why, it is just like branches of trees!” exclaimed Lucy. And then she saw that there was a light ahead of her; not a few inches away where the back of the wardrobe ought to have been, but a long way off. Something cold and soft was falling on her. A moment later she found that she was standing in the middle of a wood at night-time with snow under her feet and snowflakes falling through the air.\n\nLucy felt a little frightened, but she felt very inquisitive and excited as well. She looked back over her shoulder and there, between the dark tree trunks, she could still see the open doorway of the wardrobe and even catch a glimpse of the empty room from which she had set out. (She had, of course, left the door open, for she knew that it is a very silly thing to shut oneself into a wardrobe.) It seemed to be still daylight there.\n\n“I can always get back if anything goes wrong,” thought Lucy. She began to walk forward, crunch-crunch over the snow and through the wood towards the other light. In about ten minutes she reached it and found it was a lamp-post.\n\nAs she stood looking at it, wondering why there was a lamp-post in the middle of a wood and wondering what to do next, she heard a pitter patter of feet coming towards her. And soon after that a very strange person stepped out from among the trees into the light of the lamp-post.\nHe was only a little taller than Lucy herself and he carried over his head an umbrella, white with snow. From the waist upwards he was like a man, but his legs were shaped like a goat's (the hair on them was glossy black) and instead of feet he had goat's hoofs.","What do you think was the soft, powdery and cold thing Lucy felt?",Snow,A,Snow,Mothballs,Feathers
"This must be a simply enormous wardrobe!” thought Lucy, going still further in and pushing the soft folds of the coats aside to make room for her. Then she noticed that there was something crunching under her feet.\n“I wonder is that more moth-balls?” she thought, stooping down to feel it with her hand. But instead of feeling the hard. smooth wood of the floor of the wardrobe, she felt something soft and powdery and extremely cold. “This is very queer,” she said, and went on a step or two further.\n\nNext moment she found that what she was rubbing against her face and hands was no longer soft fur but something hard and rough and even prickly. “Why, it is just like branches of trees!” exclaimed Lucy. And then she saw that there was a light ahead of her; not a few inches away where the back of the wardrobe ought to have been, but a long way off. Something cold and soft was falling on her. A moment later she found that she was standing in the middle of a wood at night-time with snow under her feet and snowflakes falling through the air.\n\nLucy felt a little frightened, but she felt very inquisitive and excited as well. She looked back over her shoulder and there, between the dark tree trunks, she could still see the open doorway of the wardrobe and even catch a glimpse of the empty room from which she had set out. (She had, of course, left the door open, for she knew that it is a very silly thing to shut oneself into a wardrobe.) It seemed to be still daylight there.\n\n“I can always get back if anything goes wrong,” thought Lucy. She began to walk forward, crunch-crunch over the snow and through the wood towards the other light. In about ten minutes she reached it and found it was a lamp-post.\n\nAs she stood looking at it, wondering why there was a lamp-post in the middle of a wood and wondering what to do next, she heard a pitter patter of feet coming towards her. And soon after that a very strange person stepped out from among the trees into the light of the lamp-post.\nHe was only a little taller than Lucy herself and he carried over his head an umbrella, white with snow. From the waist upwards he was like a man, but his legs were shaped like a goat's (the hair on them was glossy black) and instead of feet he had goat's hoofs.",Why do you think Lucy was both frightened and excited at the same time?,"She was frightened as it was a new experience, and she was excited to discover this new world",A,"She was frightened as it was a new experience, and she was excited to discover this new world.
","She was afraid of wild animals but excited about the snowy landscape.
","She was afraid of the dark but excited about the lamp-post.
"
"This must be a simply enormous wardrobe!” thought Lucy, going still further in and pushing the soft folds of the coats aside to make room for her. Then she noticed that there was something crunching under her feet.\n“I wonder is that more moth-balls?” she thought, stooping down to feel it with her hand. But instead of feeling the hard. smooth wood of the floor of the wardrobe, she felt something soft and powdery and extremely cold. “This is very queer,” she said, and went on a step or two further.\n\nNext moment she found that what she was rubbing against her face and hands was no longer soft fur but something hard and rough and even prickly. “Why, it is just like branches of trees!” exclaimed Lucy. And then she saw that there was a light ahead of her; not a few inches away where the back of the wardrobe ought to have been, but a long way off. Something cold and soft was falling on her. A moment later she found that she was standing in the middle of a wood at night-time with snow under her feet and snowflakes falling through the air.\n\nLucy felt a little frightened, but she felt very inquisitive and excited as well. She looked back over her shoulder and there, between the dark tree trunks, she could still see the open doorway of the wardrobe and even catch a glimpse of the empty room from which she had set out. (She had, of course, left the door open, for she knew that it is a very silly thing to shut oneself into a wardrobe.) It seemed to be still daylight there.\n\n“I can always get back if anything goes wrong,” thought Lucy. She began to walk forward, crunch-crunch over the snow and through the wood towards the other light. In about ten minutes she reached it and found it was a lamp-post.\n\nAs she stood looking at it, wondering why there was a lamp-post in the middle of a wood and wondering what to do next, she heard a pitter patter of feet coming towards her. And soon after that a very strange person stepped out from among the trees into the light of the lamp-post.\nHe was only a little taller than Lucy herself and he carried over his head an umbrella, white with snow. From the waist upwards he was like a man, but his legs were shaped like a goat's (the hair on them was glossy black) and instead of feet he had goat's hoofs.",What do you think could go wrong that would make Lucy come back to the wardrobe?,She could meet strange and dangerous creatures or monsters.,A,"She could meet strange and dangerous creatures or monsters.
",The open doorway of the wardrobe,The presence of the lamp-post
"This must be a simply enormous wardrobe!” thought Lucy, going still further in and pushing the soft folds of the coats aside to make room for her. Then she noticed that there was something crunching under her feet.\n“I wonder is that more moth-balls?” she thought, stooping down to feel it with her hand. But instead of feeling the hard. smooth wood of the floor of the wardrobe, she felt something soft and powdery and extremely cold. “This is very queer,” she said, and went on a step or two further.\n\nNext moment she found that what she was rubbing against her face and hands was no longer soft fur but something hard and rough and even prickly. “Why, it is just like branches of trees!” exclaimed Lucy. And then she saw that there was a light ahead of her; not a few inches away where the back of the wardrobe ought to have been, but a long way off. Something cold and soft was falling on her. A moment later she found that she was standing in the middle of a wood at night-time with snow under her feet and snowflakes falling through the air.\n\nLucy felt a little frightened, but she felt very inquisitive and excited as well. She looked back over her shoulder and there, between the dark tree trunks, she could still see the open doorway of the wardrobe and even catch a glimpse of the empty room from which she had set out. (She had, of course, left the door open, for she knew that it is a very silly thing to shut oneself into a wardrobe.) It seemed to be still daylight there.\n\n“I can always get back if anything goes wrong,” thought Lucy. She began to walk forward, crunch-crunch over the snow and through the wood towards the other light. In about ten minutes she reached it and found it was a lamp-post.\n\nAs she stood looking at it, wondering why there was a lamp-post in the middle of a wood and wondering what to do next, she heard a pitter patter of feet coming towards her. And soon after that a very strange person stepped out from among the trees into the light of the lamp-post.\nHe was only a little taller than Lucy herself and he carried over his head an umbrella, white with snow. From the waist upwards he was like a man, but his legs were shaped like a goat's (the hair on them was glossy black) and instead of feet he had goat's hoofs.",How do you think Lucy felt when she saw the strange person?,She felt confused and afraid.,A,She felt confused and afraid.,She felt excited and asked him for directions.,She felt intrigued and immediately approached him.
"This must be a simply enormous wardrobe!” thought Lucy, going still further in and pushing the soft folds of the coats aside to make room for her. Then she noticed that there was something crunching under her feet.\n“I wonder is that more moth-balls?” she thought, stooping down to feel it with her hand. But instead of feeling the hard. smooth wood of the floor of the wardrobe, she felt something soft and powdery and extremely cold. “This is very queer,” she said, and went on a step or two further.\n\nNext moment she found that what she was rubbing against her face and hands was no longer soft fur but something hard and rough and even prickly. “Why, it is just like branches of trees!” exclaimed Lucy. And then she saw that there was a light ahead of her; not a few inches away where the back of the wardrobe ought to have been, but a long way off. Something cold and soft was falling on her. A moment later she found that she was standing in the middle of a wood at night-time with snow under her feet and snowflakes falling through the air.\n\nLucy felt a little frightened, but she felt very inquisitive and excited as well. She looked back over her shoulder and there, between the dark tree trunks, she could still see the open doorway of the wardrobe and even catch a glimpse of the empty room from which she had set out. (She had, of course, left the door open, for she knew that it is a very silly thing to shut oneself into a wardrobe.) It seemed to be still daylight there.\n\n“I can always get back if anything goes wrong,” thought Lucy. She began to walk forward, crunch-crunch over the snow and through the wood towards the other light. In about ten minutes she reached it and found it was a lamp-post.\n\nAs she stood looking at it, wondering why there was a lamp-post in the middle of a wood and wondering what to do next, she heard a pitter patter of feet coming towards her. And soon after that a very strange person stepped out from among the trees into the light of the lamp-post.\nHe was only a little taller than Lucy herself and he carried over his head an umbrella, white with snow. From the waist upwards he was like a man, but his legs were shaped like a goat's (the hair on them was glossy black) and instead of feet he had goat's hoofs.",What kind of person is Lucy? Circle two correct adjectives. Curious - Shy - Brave - Organised.,Curious. Brave. Curious: she kept going in the woods and into the wardrobe to find out where she was heading.  Brave: she fought her fear and kept going in the woods. She didn’t turn back.,A,Curious - Brave,Nervous - Quiet,Curious - Organized
"There once was a very greedy man who sold everything he owned and bought a brick of gold. He buried the gold brick behind a hut that was across the road from his shabby old house. Every day, the greedy man went across the road and dug up his gold brick to look at it. After a while, a workman noticed the greedy man going across the road every day, and decided to follow him. The next day, the greedy man dug down for his gold brick, but the hole was empty. He pulled at his hair, and cried out in sorrow. “My beautiful gold brick!” he wept. A neighbor came running, and asked the greedy man what had happened. When the greedy man told him, the neighbor just shrugged his shoulders. “Why be so sad?” said the neighbor. Just go get a rock and put it in that hole, and pretend that it is gold. It will do you as much good as the gold did.”",Why did the greedy man bury his gold brick?,,C,He didn’t have a house.,He thought it would grow into a tree of gold.,He was afraid someone would steal it.
"There once was a very greedy man who sold everything he owned and bought a brick of gold. He buried the gold brick behind a hut that was across the road from his shabby old house. Every day, the greedy man went across the road and dug up his gold brick to look at it. After a while, a workman noticed the greedy man going across the road every day, and decided to follow him. The next day, the greedy man dug down for his gold brick, but the hole was empty. He pulled at his hair, and cried out in sorrow. “My beautiful gold brick!” he wept. A neighbor came running, and asked the greedy man what had happened. When the greedy man told him, the neighbor just shrugged his shoulders. “Why be so sad?” said the neighbor. Just go get a rock and put it in that hole, and pretend that it is gold. It will do you as much good as the gold did.”",Why did the greedy man go and dig up his gold brick every day?,,B,Looking at it made him sad.,Looking at it made him happy.,He wanted to sell it.
"There once was a very greedy man who sold everything he owned and bought a brick of gold. He buried the gold brick behind a hut that was across the road from his shabby old house. Every day, the greedy man went across the road and dug up his gold brick to look at it. After a while, a workman noticed the greedy man going across the road every day, and decided to follow him. The next day, the greedy man dug down for his gold brick, but the hole was empty. He pulled at his hair, and cried out in sorrow. “My beautiful gold brick!” he wept. A neighbor came running, and asked the greedy man what had happened. When the greedy man told him, the neighbor just shrugged his shoulders. “Why be so sad?” said the neighbor. Just go get a rock and put it in that hole, and pretend that it is gold. It will do you as much good as the gold did.”",Why did the workman follow the very greedy man?,,C,He didn't like the greedy man.,He knew the greedy man had a gold brick.,He was curious.
"There once was a very greedy man who sold everything he owned and bought a brick of gold. He buried the gold brick behind a hut that was across the road from his shabby old house. Every day, the greedy man went across the road and dug up his gold brick to look at it. After a while, a workman noticed the greedy man going across the road every day, and decided to follow him. The next day, the greedy man dug down for his gold brick, but the hole was empty. He pulled at his hair, and cried out in sorrow. “My beautiful gold brick!” he wept. A neighbor came running, and asked the greedy man what had happened. When the greedy man told him, the neighbor just shrugged his shoulders. “Why be so sad?” said the neighbor. Just go get a rock and put it in that hole, and pretend that it is gold. It will do you as much good as the gold did.”","Why did the greedy man find that the hold was empty, and his gold brick was gone?",,A,The workman had stolen it.,The greedy man had stolen it.,The greedy man’s neighbor had stolen it.
"There once was a very greedy man who sold everything he owned and bought a brick of gold. He buried the gold brick behind a hut that was across the road from his shabby old house. Every day, the greedy man went across the road and dug up his gold brick to look at it. After a while, a workman noticed the greedy man going across the road every day, and decided to follow him. The next day, the greedy man dug down for his gold brick, but the hole was empty. He pulled at his hair, and cried out in sorrow. “My beautiful gold brick!” he wept. A neighbor came running, and asked the greedy man what had happened. When the greedy man told him, the neighbor just shrugged his shoulders. “Why be so sad?” said the neighbor. Just go get a rock and put it in that hole, and pretend that it is gold. It will do you as much good as the gold did.”","Think about what makes the most sense, to draw a conclusion: The neighbor told the greedy man that he might as well bury a rock in the hole and pretend that it was gold. This is probably because:",,C,The neighbor wanted the gold brick for himself.,The neighbor wanted to be the greedy man’s friend.,The gold brick had not done the greedy man any real good.
